,device,machine,device_name,n,time
0,cpu,Rog Zephyrus G14,AMD RYZEN 9 4000,10,0.04836750030517578
1,cpu,Rog Zephyrus G14,AMD RYZEN 9 4000,10,0.00010609626770019531
2,cpu,Rog Zephyrus G14,AMD RYZEN 9 4000,10,2.4080276489257812e-05
3,cpu,Rog Zephyrus G14,AMD RYZEN 9 4000,10,2.2649765014648438e-05
4,cpu,Rog Zephyrus G14,AMD RYZEN 9 4000,10,2.1457672119140625e-05
5,cpu,Rog Zephyrus G14,AMD RYZEN 9 4000,10,2.2411346435546875e-05
6,cpu,Rog Zephyrus G14,AMD RYZEN 9 4000,10,2.0742416381835938e-05
7,cpu,Rog Zephyrus G14,AMD RYZEN 9 4000,10,2.0742416381835938e-05
8,cpu,Rog Zephyrus G14,AMD RYZEN 9 4000,10,2.09808349609375e-05
9,cpu,Rog Zephyrus G14,AMD RYZEN 9 4000,10,2.002716064453125e-05
10,cpu,Rog Zephyrus G14,AMD RYZEN 9 4000,50,0.002149820327758789
11,cpu,Rog Zephyrus G14,AMD RYZEN 9 4000,50,0.00017189979553222656
12,cpu,Rog Zephyrus G14,AMD RYZEN 9 4000,50,0.00011014938354492188
13,cpu,Rog Zephyrus G14,AMD RYZEN 9 4000,50,0.0001087188720703125
14,cpu,Rog Zephyrus G14,AMD RYZEN 9 4000,50,0.00011229515075683594
15,cpu,Rog Zephyrus G14,AMD RYZEN 9 4000,50,0.00011134147644042969
16,cpu,Rog Zephyrus G14,AMD RYZEN 9 4000,50,0.00011110305786132812
17,cpu,Rog Zephyrus G14,AMD RYZEN 9 4000,50,0.000110626220703125
18,cpu,Rog Zephyrus G14,AMD RYZEN 9 4000,50,0.00011086463928222656
19,cpu,Rog Zephyrus G14,AMD RYZEN 9 4000,50,0.00011086463928222656
20,cpu,Rog Zephyrus G14,AMD RYZEN 9 4000,100,0.0005524158477783203
21,cpu,Rog Zephyrus G14,AMD RYZEN 9 4000,100,0.0003592967987060547
22,cpu,Rog Zephyrus G14,AMD RYZEN 9 4000,100,0.0003075599670410156
23,cpu,Rog Zephyrus G14,AMD RYZEN 9 4000,100,0.0003178119659423828
24,cpu,Rog Zephyrus G14,AMD RYZEN 9 4000,100,0.0003185272216796875
25,cpu,Rog Zephyrus G14,AMD RYZEN 9 4000,100,0.00031757354736328125
26,cpu,Rog Zephyrus G14,AMD RYZEN 9 4000,100,0.0004246234893798828
27,cpu,Rog Zephyrus G14,AMD RYZEN 9 4000,100,0.0003159046173095703
28,cpu,Rog Zephyrus G14,AMD RYZEN 9 4000,100,0.00031185150146484375
29,cpu,Rog Zephyrus G14,AMD RYZEN 9 4000,100,0.00031256675720214844
30,cpu,Rog Zephyrus G14,AMD RYZEN 9 4000,250,0.0042002201080322266
31,cpu,Rog Zephyrus G14,AMD RYZEN 9 4000,250,0.0007703304290771484
32,cpu,Rog Zephyrus G14,AMD RYZEN 9 4000,250,0.0009415149688720703
33,cpu,Rog Zephyrus G14,AMD RYZEN 9 4000,250,0.0009906291961669922
