,device,machine,device_name,n,time
48,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,500,0.004663228988647461
49,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,500,0.004642009735107422
50,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,1000,0.034208059310913086
51,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,1000,0.027722835540771484
52,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,1000,0.027555227279663086
53,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,1000,0.028881072998046875
54,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,1000,0.02798008918762207
55,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,1000,0.02801990509033203
56,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,1000,0.027829885482788086
57,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,1000,0.02830672264099121
58,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,1000,0.02829885482788086
59,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,1000,0.030632972717285156
60,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,1500,0.09887409210205078
61,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,1500,0.08453702926635742
62,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,1500,0.08620405197143555
63,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,1500,0.08743906021118164
64,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,1500,0.08538413047790527
65,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,1500,0.08600282669067383
66,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,1500,0.08602380752563477
67,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,1500,0.08721089363098145
68,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,1500,0.08561396598815918
69,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,1500,0.0861208438873291
70,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,2000,0.20368409156799316
71,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,2000,0.18956589698791504
72,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,2000,0.18565130233764648
73,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,2000,0.18481802940368652
74,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,2000,0.1927030086517334
75,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,2000,0.18797898292541504
76,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,2000,0.1857740879058838
77,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,2000,0.18507122993469238
78,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,2000,0.18486809730529785
79,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,2000,0.1835792064666748
80,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,3000,0.6581509113311768
81,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,3000,0.5996661186218262
82,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,3000,0.5777180194854736
83,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,3000,0.5690538883209229
84,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,3000,0.5624949932098389
85,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,3000,0.5629050731658936
86,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,3000,0.5624067783355713
87,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,3000,0.563953161239624
88,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,3000,0.564802885055542
89,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,3000,0.5664241313934326
90,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,4000,1.375260829925537
91,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,4000,1.2873249053955078
92,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,4000,1.2876660823822021
93,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,4000,1.2856788635253906
94,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,4000,1.2905960083007812
95,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,4000,1.3426318168640137
96,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,4000,1.360541820526123
97,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,4000,1.3596971035003662
98,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,4000,1.360111951828003
99,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,4000,1.4436569213867188
